"","DATE","Value","forecast","ForecastValue","ActualValue"
"1",2018-12-31,1.22284049823108,FALSE,NA,1.22284049823108
"2",2019-12-31,1.36587892021598,FALSE,1.36587892021598,1.36587892021598
"3",2020-12-31,1.50930922828852,TRUE,1.50930922828852,NA
